feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911160|Smokey Bear Hill|Summit|New Mexico|35|Sandoval|043|Rancho del Chaparral|11/13/1980|01/21/2020||||355253N|1064906W|35.8814046|-106.8183613|||0.0|0.0
911161|Smoky Spring|Spring|New Mexico|35|Sandoval|043|Mesa Portales|11/13/1980|04/19/2011||||355518N|1070307W|35.9216472|-107.0519915|||0.0|0.0
911163|Smoothing Iron Mesa|Summit|New Mexico|35|Catron|003|Maple Peak|11/13/1980|||||331821N|1090150W|33.3058953|-109.0306225|||0.0|0.0
911164|Snafi Tank|Reservoir|New Mexico|35|Catron|003|Burnt Corral Canyon|11/13/1980|02/26/2019||||332057N|1080951W|33.3492233|-108.1641413|||0.0|0.0
911165|Snake Hill|Summit|New Mexico|35|Grant|017|Fort Bayard|11/13/1980|04/08/2020||||324741N|1080935W|32.7946408|-108.1596924|||0.0|0.0
911167|Snake Tank|Reservoir|New Mexico|35|Socorro|053|San Juan Peak|11/13/1980|02/20/2019||||334345N|1071640W|33.7290811|-107.2776925|||0.0|0.0
911168|Snap Canyon|Valley|New Mexico|35|Otero|035|Bluff Springs|11/13/1980|01/22/2020||||324751N|1054103W|32.7976259|-105.6840671|324656N|1054154W|32.7823057|-105.6984336
911170|Snare Mesa|Bench|New Mexico|35|Catron|003|Maple Peak|11/13/1980|||||332000N|1090224W|33.3333945|-109.0400676|||0.0|0.0
911171|Snooter Spring|Spring|New Mexico|35|Cibola|006|San Rafael|11/13/1980|04/19/2011||||350618N|1075733W|35.1050508|-107.9592158|||0.0|0.0
911172|Snow Canyon|Valley|New Mexico|35|Otero|035|Ruidoso|11/13/1980|01/31/2020||||331732N|1053949W|33.2923455|-105.6637423|331517N|1053757W|33.2546855|-105.6325903
